"","Opinion_A","Opinion_B","No_Opinion","Peak_Rate","Prcnt_Same_Clust","Duration","Links","Expertise_Influence","P_Prop","P_H_SD","Agent_type","Percentage"
"1",50.0399201596806,49.7604790419162,0.199600798403194,9.1,50.331383506159,24.1,0.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0399201596806
"2",50.3692614770459,49.4311377245509,0.199600798403194,12.27,50.0860483985868,17.5,1,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3692614770459
"3",50.2295409181637,49.5708582834331,0.199600798403194,16.62,50.138133691222,14.1,1.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2295409181637
"4",50.4690618762475,49.3313373253493,0.199600798403194,18.4,49.7610191567835,12.6,2,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.4690618762475
"5",50.3293413173653,49.4710578842315,0.199600798403194,23.16,49.5784696067456,11,2.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3293413173653
"6",49.7405189620758,50.059880239521,0.199600798403194,22.76,49.5743829065493,10.6,3,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.7405189620758
"7",49.1916167664671,50.6087824351297,0.199600798403194,23.56,49.8093705498198,10.3,3.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.1916167664671
"8",49.6007984031936,50.1996007984032,0.199600798403194,27.58,49.7053649378162,9.5,4,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.6007984031936
"9",49.4610778443114,50.3393213572854,0.199600798403194,29.09,49.7456385517899,9,4.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.4610778443114
"10",49.9900199600798,49.810379241517,0.199600798403194,32.89,49.6939452503952,8.7,5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.9900199600798
"11",48.7225548902196,51.0778443113772,0.199600798403194,35.5,49.8419282392696,8.2,5.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.7225548902196
"12",50.1397205588822,49.6606786427146,0.199600798403194,31.76,49.7404784617818,8.3,6,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.1397205588822
"13",49.9600798403194,49.8403193612774,0.199600798403194,39.14,49.8226158220489,7.5,6.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.9600798403194
"14",48.9121756487026,50.8882235528942,0.199600798403194,43.7,49.8305457700496,7.4,7,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.9121756487026
"15",49.8602794411178,49.940119760479,0.199600798403194,41.87,49.821868874438,7.6,7.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8602794411178
"16",50.3692614770459,49.4311377245509,0.199600798403194,40.44,49.7765977725714,7.5,8,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3692614770459
"17",50.3992015968064,49.4011976047904,0.199600798403194,49.19,49.7600125070532,7,8.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3992015968064
"18",50.0499001996008,49.750499001996,0.199600798403194,44.04,49.787776247866,7.4,9,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0499001996008
"19",49.2614770459082,50.5389221556886,0.199600798403194,46.21,49.7586552170101,6.9,9.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.2614770459082
"20",49.5109780439122,50.2894211576846,0.199600798403194,45.09,49.6994354256948,7,10,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.5109780439122
"21",49.940119760479,49.8602794411178,0.199600798403194,48.25,49.7806374635977,6.8,10.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.940119760479
"22",49.8003992015968,50,0.199600798403194,54.34,49.8817154423373,6.6,11,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8003992015968
"23",49.9301397205589,49.8702594810379,0.199600798403194,48.09,49.7897856342639,6.6,11.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.9301397205589
"24",49.7704590818363,50.0299401197605,0.199600798403194,55.92,49.7959551513846,6.3,12,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.7704590818363
"25",50.0199600798403,49.7804391217565,0.199600798403194,51.44,49.7709752613069,6.4,12.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0199600798403
"26",50.2994011976048,49.500998003992,0.199600798403194,54.32,49.7487920897552,6.3,13,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2994011976048
"27",50.2295409181637,49.5708582834331,0.199600798403194,48.79,49.7276071326583,6.5,13.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2295409181637
"28",49.8203592814371,49.9800399201597,0.199600798403194,58.17,49.7790354685509,6.1,14,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8203592814371
"29",49.7804391217565,50.0199600798403,0.199600798403194,54.73,49.7419225803172,5.9,14.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.7804391217565
"30",49.4311377245509,50.3692614770459,0.199600798403194,49.83,49.8405809676248,6.3,15,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.4311377245509
"31",49.6207584830339,50.1796407185629,0.199600798403194,54.64,49.8270691762036,5.9,15.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.6207584830339
"32",49.3612774451098,50.439121756487,0.199600798403194,53.25,49.7551636674206,5.8,16,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.3612774451098
"33",49.690618762475,50.1097804391218,0.199600798403194,57.1,49.9411014054509,5.8,16.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.690618762475
"34",50.2195608782435,49.5808383233533,0.199600798403194,54.21,49.8128331745447,5.8,17,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2195608782435
"35",48.4331337325349,51.3672654690619,0.199600798403194,55.39,49.8557620488462,5.4,17.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.4331337325349
"36",50.2095808383234,49.5908183632735,0.199600798403194,50.96,49.7894647563917,5.9,18,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2095808383234
"37",50.059880239521,49.7405189620759,0.199600798403194,53.04,49.9064648745549,5.6,18.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.059880239521
"38",50.5389221556886,49.2614770459082,0.199600798403194,51.97,49.8827468787133,5.8,19,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.5389221556886
"39",51.1576846307385,48.6427145708583,0.199600798403194,52.17,49.7907234305837,5.7,19.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",51.1576846307385
"40",49.3313373253493,50.4690618762475,0.199600798403194,53.89,49.8328577878107,5.3,20,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.3313373253493
"41",50.3892215568862,49.4111776447106,0.199600798403194,54.49,49.7789928609785,5.6,20.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3892215568862
"42",49.9201596806387,49.8802395209581,0.199600798403194,53.6,49.7867554563851,5.5,21,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.9201596806387
"43",50.7984031936128,49.001996007984,0.199600798403194,54.63,49.8440888364488,5.6,21.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.7984031936128
"44",50.3592814371258,49.4411177644711,0.199600798403194,54.64,49.7674494355276,5.3,22,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3592814371258
"45",49.4011976047904,50.3992015968064,0.199600798403194,53.21,49.7836980665268,5.5,22.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.4011976047904
"46",49.7704590818363,50.0299401197605,0.199600798403194,55.51,49.7624109948058,5.3,23,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.7704590818363
"47",49.8702594810379,49.9301397205589,0.199600798403194,55.62,49.7876062350032,5.2,23.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8702594810379
"48",49.3812375249501,50.4191616766467,0.199600798403194,55.01,49.7862861037018,5.4,24,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.3812375249501
"49",49.1916167664671,50.6087824351297,0.199600798403194,56.76,49.8001061387412,5.3,24.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.1916167664671
"50",50.249500998004,49.5508982035928,0.199600798403194,57.07,49.8166743884094,5.4,25,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.249500998004
"51",49.8802395209581,49.9201596806387,0.199600798403194,57.61,49.7905745559997,5.1,25.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8802395209581
"52",50.0698602794411,49.7305389221557,0.199600798403194,60.29,49.7983100273063,5.1,26,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0698602794411
"53",50.1796407185629,49.6207584830339,0.199600798403194,61.81,49.8267940341679,5.3,26.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.1796407185629
"54",50.6287425149701,49.1716566866267,0.199600798403194,59.5,49.7988876323595,5.1,27,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.6287425149701
"55",50.1097804391218,49.690618762475,0.199600798403194,62.12,49.7640560645845,5,27.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.1097804391218
"56",50.8682634730539,48.9321357285429,0.199600798403194,61.36,49.7831692831823,5.2,28,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.8682634730539
"57",49.1217564870259,50.6786427145709,0.199600798403194,59.39,49.793869019946,5.1,28.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.1217564870259
"58",49.2215568862275,50.5788423153693,0.199600798403194,61.42,49.8434433041856,5.1,29,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.2215568862275
"59",50.3193612774451,49.4810379241517,0.199600798403194,60.26,49.8468251735898,5.1,29.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.3193612774451
"60",50.0399201596806,49.7604790419162,0.199600798403194,66.19,49.7836977307429,5.1,30,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0399201596806
"61",49.7804391217565,50.0199600798403,0.199600798403194,64.57,49.7779959218486,5,30.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.7804391217565
"62",50.1596806387225,49.6407185628742,0.199600798403194,67.07,49.8025798390168,5.3,31,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.1596806387225
